CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR
CERTIFIED,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,2016
CERTIFIED,INN AT THE WICKLIFFE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,52416.0,2016
CERTIFIED,"DURHAM SCHOOL SERVICES, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE AND OPERATIONS ANALYSIS",Y,130853.0,2016
DENIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016
CERTIFIED,CB LANSING 300 LLP,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,89107.0,2016
CERTIFIED,"SOFTTEK INTEGRATION SYSTEMS, INC.",CHIEF EXECUTIVES,ACCOUNT DIRECTOR,Y,130853.0,2016
CERTIFIED,"SPARITY, INC.",CHIEF EXECUTIVES,TECHNICAL DIRECTOR,Y,102190.0,2016
CERTIFIED,"ADCONION DIRECT, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,197683.0,2016
CERTIFIED,MAVENCARE US INC.,CHIEF EXECUTIVES,SVP BUSINESS OPERATIONS AND DEVELOPMENT,Y,122179.0,2016
CERTIFIED,"THE CHICAGO ATHENAEUM: CENTER FOR ARCHITECTURE, DESIGN & URBAN STUDIES",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,N,54766.0,2016
CERTIFIED,MED ADVANTAGE LLC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016
DENIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016
CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016
CERTIFIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016
CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016
CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016
CERTIFIED,"PAXTERRA SOLUTIONS, INC.",CHIEF EXECUTIVES,"ASSISTANT VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,102190.0,2016
CERTIFIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016
CERTIFIED,VARIANTYX INC.,CHIEF EXECUTIVES,CHIEF INFORMATION OFFICER,Y,164403.0,2016
CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016
CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016
CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016
CERTIFIED,"PRONTO GENERAL AGENCY, LTD.",CHIEF EXECUTIVES,PRESIDENT,Y,161179.0,2016
CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT & CHIEF EXECUTIVE OFFICER,Y,187075.0,2016
CERTIFIED-WITHDRAWN,"AMPED, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016
CERTIFIED,"SENSORHOUND, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752.0,2016
CERTIFIED,"UNDER ARMOUR, INC.",CHIEF EXECUTIVES,"SR. DIRECTOR, BUSINESS PERFORMANCE MANAGEMENT",Y,137966.0,2016
CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016
CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,226616.0,2016
CERTIFIED,"FISERV AUTOMOTIVE SOLUTIONS, INC.",CHIEF EXECUTIVES,"PRESIDENT, LENDING SOLUTIONS",Y,221541.0,2016
CERTIFIED,"HBN MEDIA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,198266.0,2016
CERTIFIED,ADVENTIST HEALTH SYSTEM SUNBELT,CHIEF EXECUTIVES,REGIONAL CHIEF MEDICAL INFORMATION OFFICER,Y,221541.0,2016
CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT &AMP; CHIEF EXECUTIVE OFFICER,Y,187075.0,2016
WITHDRAWN,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATICS OFFICER,Y,234457.6,2016
CERTIFIED,"MAP HEALTH MANAGEMENT , LLC",CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,202634.0,2016
CERTIFIED,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATION OFFICER,Y,234457.6,2016
CERTIFIED,BENEFUEL INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016
CERTIFIED,RIVIAN AUTOMOTIVE LLC,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,194875.0,2016
CERTIFIED,UNIVERSITY AT ALBANY,CHIEF EXECUTIVES,DIRECTOR,Y,75293.0,2016
CERTIFIED,ARICENT US INC.,CHIEF EXECUTIVES,"PRESIDENT, COMMUNICATIONS",Y,253448.0,2016
WITHDRAWN,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942.0,2016
CERTIFIED,"ALWAYS BELIEVE PLUS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.4,2016
CERTIFIED,"ZEETOGROUP, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CEO),Y,246522.0,2016
WITHDRAWN,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016
CERTIFIED,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT,Y,159369.6,2016
WITHDRAWN,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776.0,2016
CERTIFIED,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776.0,2016
CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016
CERTIFIED,FYBR LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,151507.0,2016
CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016
CERTIFIED,"GREENLAM AMERICA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016
CERTIFIED,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942.0,2016
CERTIFIED,CLARKE CAPITAL PARTNERS LLC,CHIEF EXECUTIVES,MANAGING DIRECTOR - TECHNOLOGY,Y,159370.0,2016
CERTIFIED,"RINA SYSTEMS, LLC",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,155958.0,2016
CERTIFIED,ZYKA FOODS INC.,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,117998.0,2016
DENIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016
CERTIFIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016
CERTIFIED,"CALIFORNIA MASTERPLANT, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,85051.0,2016
CERTIFIED,HARBAR LLC,CHIEF EXECUTIVES,CFO & VP BUSINESS DEVELOPMENT,Y,254821.0,2016
DENIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016
CERTIFIED,"ARUZE GAMING AMERICA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF CORPORATE STRATEGY,Y,82514.0,2016
CERTIFIED,SD MANAGEMENT GROUP LLC,CHIEF EXECUTIVES,CHIEF SUSTAINABILITY OFFICER,N,17264.0,2016
DENIED,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363.0,2016
CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424.0,2016
CERTIFIED,"ASHLEY HOMESTORES, LTD.",CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT, BRAND DEVELOPMENT",Y,158038.0,2016
CERTIFIED,"BARFRESH, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,164050.0,2016
CERTIFIED,ROBERTSON FOUNDATION,CHIEF EXECUTIVES,PRESIDENT AND CHIEF EXECUTIVE OFFICER,Y,233418.0,2016
CERTIFIED,KIS USA LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,163966.0,2016
CERTIFIED,ONMOBILE USA LLC,CHIEF EXECUTIVES,SENIOR VP - GLOBAL CONTENT AND MULTI-MEDIA STRATEGY,Y,210122.0,2016
WITHDRAWN,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016
CERTIFIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016
CERTIFIED,"CORO INVESTMENTS, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, USA OPERATIONS",Y,103480.0,2016
CERTIFIED,"AMERICAN REFINING GROUP, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF OPERATIONS,Y,202738.0,2016
CERTIFIED-WITHDRAWN,MARY HITCHCOCK MEMORIAL HOSPITAL,CHIEF EXECUTIVES,VICE PRESIDENT OF FINANCE - INTEGRATED DELIVERY SYSTEM,Y,212618.0,2016
DENIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016
CERTIFIED,"NEWLINK COMMUNICATIONS GROUP, LLC",CHIEF EXECUTIVES,VICE PRESIDENT OF BUSINESS DEVELOPMENT,Y,113090.0,2016
DENIED,BENYOUCEF LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,72800.0,2016
CERTIFIED,99TH AVENUE HOLDINGS LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OF FITNESS MANAGEMENT,Y,187200.0,2016
CERTIFIED,"ASTELLAS PHARMA US, INC.",CHIEF EXECUTIVES,"EXECUTIVE DIRECTOR, INTERNATIONAL BUSINESS",Y,226699.0,2016
CERTIFIED,STRYKER CORPORATION,CHIEF EXECUTIVES,"VP, GLOBAL IT GOVERNANCE & PERFORMANCE MEASUREMENT",Y,189862.0,2016
CERTIFIED-WITHDRAWN,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363.0,2016
CERTIFIED,NORTHWELL HEALTH,CHIEF EXECUTIVES,VP INTERNATIONAL BUSINESS DEVELOPMENT,Y,252429.0,2016
CERTIFIED,HARIBO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016
CERTIFIED,UGAM SOLUTIONS SEZ PVT. LTD,CHIEF EXECUTIVES,ASSISTANT VICE PRESIDENT,Y,102190.0,2016
CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016
CERTIFIED,AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,CHIEF EXECUTIVES,CHIEF OF STAFF,Y,195728.0,2016
CERTIFIED,FARADAY&FUTURE INC,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,256173.0,2016
CERTIFIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016
DENIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016
CERTIFIED-WITHDRAWN,"HARGRAY COMMUNICATIONS GROUP, INC.",CHIEF EXECUTIVES,"SR. VICE PRESIDENT, TECHNOLOGY & OPERATIONS",Y,145122.0,2016
CERTIFIED,DIAMONDS DIRECT USA INC,CHIEF EXECUTIVES,PRESIDENT/CEO,Y,187200.0,2016
CERTIFIED,"NATURAL POWER AND ENERGY, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,213200.0,2016
CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016
CERTIFIED,RIGHTSIDE OPERATING CO,CHIEF EXECUTIVES,"ELECTRICAL ENGINEER, CHIEF TECHNOLOGY OFFICER",Y,229133.0,2016
CERTIFIED,ENGINE CONTROL SYSTEMS LIMITED,CHIEF EXECUTIVES,VICE PRESIDENT OF RESEARCH AND ENGINEERING,Y,106933.0,2016
CERTIFIED,"SHIRE PHARMACEUTICALS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,254821.0,2016
CERTIFIED-WITHDRAWN,TI GROUP AUTOMOTIVE SYSTEMS L.L.C.,CHIEF EXECUTIVES,DIRECTOR INVESTOR RELATIONS,Y,191090.0,2016
CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,142210.0,2016
CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,145038.0,2016
CERTIFIED,"ADVANCED PRACTICE STRATEGIES, INC.",CHIEF EXECUTIVES,STRATEGIC ADVISOR TO THE CEO (CHIEF EXECUTIVE),Y,164403.0,2016
CERTIFIED,"PROFESSIONAL TOOL GRINDING, INC.",CHIEF EXECUTIVES,VP OF MANUFACTURING,Y,111842.0,2016
CERTIFIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016
CERTIFIED,"CASTLE BRANCH, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,209539.0,2016
CERTIFIED,LIGHT & STAR USA INC,CHIEF EXECUTIVES,CHIEF FINANACIAL OFFICER,N,70000.0,2016
CERTIFIED,THEODORE R & VIVIAN M JOHNSON SCHOLARSHIP FOUND,CHIEF EXECUTIVES,PRESIDENT,Y,218629.0,2016
CERTIFIED,ASCENTIUM CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF TECHNOLOGY OFFICER,Y,229133.0,2016
CERTIFIED,"HES MANAGEMENT AND SERVICES, LLC",CHIEF EXECUTIVES,CFO CONSTRUCTION AND HOTEL MANAGEMENT,Y,205629.0,2016
CERTIFIED,"CALVARY DESIGN TEAM, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,212597.0,2016
CERTIFIED,"GLOBAL CONVERGENCE, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF GLOBAL SERVICE DELIVERY,Y,113693.0,2016
CERTIFIED,E*TRADE FINANCIAL CORPORATION,CHIEF EXECUTIVES,"CHIEF OPERATING OFFICER, IT INFRASTRUCTURE",Y,246314.0,2016
CERTIFIED-WITHDRAWN,"AUTOLIV ASP, INC.",CHIEF EXECUTIVES,VICE PRESIDENT ENGINEERING,Y,191090.0,2016
CERTIFIED,EXCLUSIVE RESORTS LLC,CHIEF EXECUTIVES,FULL-TIME CHAIRMAN OF THE BOARD,Y,187200.0,2016
CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424.0,2016
CERTIFIED,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",CHIEF EXECUTIVES,"DIRECTOR, BIOLOGY AND SOFT MATTER DIVISION",Y,178859.0,2016
CERTIFIED,"ACME INTERNATIONAL, LLC",CHIEF EXECUTIVES,VICE PRESIDENT,Y,118061.0,2016
CERTIFIED,INTUIT INC.,CHIEF EXECUTIVES,DIRECTOR CORPORATE STRATEGY,Y,187200.0,2016
CERTIFIED,STEREN ELECTRONICS INTERNATIONAL LLC,CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE",Y,148824.0,2016
CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,119184.0,2016
CERTIFIED-WITHDRAWN,"II STANLEY CO., INC.",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,95160.0,2016
CERTIFIED,OCTAL CORPORATION,CHIEF EXECUTIVES,PRESIDENT,Y,233418.0,2016
CERTIFIED,GLOBAL EXPERIENCE SPECIALISTS,CHIEF EXECUTIVES,GENERAL MANAGER EXECUTIVE,Y,177528.0,2016
CERTIFIED,FOSS WATERWAY SEAPORT,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,89690.0,2016
DENIED,X-DRILL INC,CHIEF EXECUTIVES,"VICE PRESIDENT, QUALITY, HEALTH & SAFETY",Y,187200.0,2016
CERTIFIED,"SIGMA-TAU PHARMACEUTICALS, INC.",CHIEF EXECUTIVES,"VICE PRESIDENT COMMERICAL OPERATIONS, PHARMACEUTICAL PRODUCT",Y,193170.0,2016
CERTIFIED,GASTON J GLOCK STYLE LP,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,102190.4,2016
CERTIFIED,"T-LIGO USA, LLC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,136323.2,2016
CERTIFIED,GETMYRX INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,159370.0,2016
CERTIFIED,"VIMTREK, LLC",CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENTS, SALES",Y,102190.0,2016
CERTIFIED,BIZINSURE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.0,2016
CERTIFIED,"MORRISON USA, LLC",CHIEF EXECUTIVES,CHIEF BUSINESS DEVELOPING OFFICER,Y,113090.0,2016
CERTIFIED,"OKINAWA PREFECTURE DC OFFICE, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,103480.0,2016
CERTIFIED,LOS COMALES INC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,90875.0,2016
CERTIFIED,KENDALL HEALTHCARE PROPERTIES,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,113090.0,2016
CERTIFIED,HONEY SCIENCE CORPORATION,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,117998.0,2016
CERTIFIED-WITHDRAWN,"HEART TEST LABORATORIES, INC.",CHIEF EXECUTIVES,EXECUTIVE CHAIRMAN/CFO,Y,118290.0,2016
CERTIFIED,"EARGO, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016
CERTIFIED,WORLD TRADE CENTERS ASSOCIATION (WTCA),CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CHIEF EXECUTIVES),Y,187200.0,2016
CERTIFIED,PI CHARGING INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,215862.0,2016
CERTIFIED,"EXYN TECHNOLOGIES, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016
CERTIFIED,FMR LLC,CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT OF FINANCE, PLANNING AND ANALYSIS",Y,254821.0,2016
CERTIFIED,BANDY CANYON RANCH CORP,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,99986.0,2016
DENIED,CARMA TECHOLOGY CORPORATION,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016
CERTIFIED,"DIGITAL REASONING SYSTEMS, INC.",CHIEF EXECUTIVES,CHIEF PRODUCT OFFICER,Y,210933.0,2016
CERTIFIED,"MEDICUS MANAGEMENT SERVICES, LLC",CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT,N,58926.0,2016
DENIED,WC INC.,CHIEF EXECUTIVES,GLOBAL BUSINESS DEVELOPMENT EXECUTIVE,Y,163000.0,2016
CERTIFIED,ALPHAEON CORPORATION,CHIEF EXECUTIVES,VICE PRESIDENT CANADA & LATIN AMERICA,Y,230700.0,2016
CERTIFIED,HENNIGES AUTOMOTIVE NORTH AMERICA INC.,CHIEF EXECUTIVES,"VICE PRESIDENT, SALES & MARKETING, GLOBAL SEALING SYSTEMS",Y,146661.0,2016
CERTIFIED,WC INC.,CHIEF EXECUTIVES,GLOBAL BUSINESS DEVELOPMENT EXECUTIVE,Y,163000.0,2016
CERTIFIED,"FUERST GROUP, INC.",CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT OF GLOBAL VALUE SUPPLY CHAIN,Y,202946.0,2016
CERTIFIED,"ROUSH MANAGEMENT, L.L.C.",CHIEF EXECUTIVES,ENTERTAINMENT SYSTEMS ENGINEERING (ESE) DIRECTOR,Y,150779.0,2016
CERTIFIED,"SWIFT BEEF COMPANY, A JBS USA SUBSIDIARY",CHIEF EXECUTIVES,HEAD OF STRATEGY,Y,143458.0,2016
